activity_id,assay_chembl_id,assay_type,assay_description,document_chembl_id,molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation
913916,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL57556,O=C(O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,IC50,8000.0,nM,=
917715,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL20252,Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1Nc1nccc(-c2cccnc2)n1,IC50,200.0,nM,=
917722,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL423288,CC(=O)Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,IC50,5800.0,nM,=
919069,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL418279,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(F)cc1,IC50,200.0,nM,=
919076,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL55683,O=[N+]([O-])c1cccc(Nc2nccc(-c3ccncc3)n2)c1,IC50,61000.0,nM,=
921286,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL59099,NCCCNC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,IC50,400.0,nM,=
922562,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL57443,Nc1cccc(Nc2nccc(-c3ccncc3)n2)c1,IC50,600.0,nM,=
926652,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL56669,CCCCCC(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,IC50,200.0,nM,=
928091,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL58436,c1cc(Nc2nccc(-c3cccnc3)n2)cc(OCCn2ccnc2)c1,IC50,1000.0,nM,=
928098,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL59036,Cc1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,IC50,1000.0,nM,=
929354,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL299707,COc1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,IC50,1900.0,nM,=
929361,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL291963,c1cncc(-c2ccnc(Nc3cccc(-n4ccnc4)c3)n2)c1,IC50,3300.0,nM,=
929368,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL292866,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccn1,IC50,3800.0,nM,=
930627,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL56671,COC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,IC50,5100.0,nM,=
931990,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL55379,FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c1,IC50,370.0,nM,=
931997,CHEMBL846547,B,Inhibition of v-Abl tyrosine kinase.,CHEMBL1130562,CHEMBL55742,O=C(O)c1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,IC50,2000.0,nM,=
