molecule_chembl_id,smiles,skel,ABL1,c-KIT,PDGFRB,scaffold,split
CHEMBL3689599,Cc1ccc(NS(=O)(=O)C2CCCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,LWFKELHKBDIHQE,1,-1,-1,O=C(Nc1cc2ccc(-c3cccc(NS(=O)(=O)C4CCCC4)c3)cc2cn1)C1CC1,val
CHEMBL3689600,Cc1ccc(NC(=O)N2CCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,IIVPEXSRNREOAX,1,-1,-1,O=C(Nc1cc2ccc(-c3cccc(NC(=O)N4CCC4)c3)cc2cn1)C1CC1,test
CHEMBL3689601,Cc1ccc(NC(=O)N2CCS(=O)(=O)CC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,XTKWRNHXJJYHNT,1,-1,-1,O=C(Nc1cc2ccc(-c3cccc(NC(=O)N4CCS(=O)(=O)CC4)c3)cc2cn1)C1CC1,train
CHEMBL3689602,Cc1ccc(NC(=O)N2CCC[C@@H]2CO)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CQYLIOOJNGSRHH,1,-1,-1,O=C(Nc1cc2ccc(-c3cccc(NC(=O)N4CCCC4)c3)cc2cn1)C1CC1,train
CHEMBL3689603,Cc1ccc(NC(=O)N2CCC[C@H]2CO)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CQYLIOOJNGSRHH,1,-1,-1,O=C(Nc1cc2ccc(-c3cccc(NC(=O)N4CCCC4)c3)cc2cn1)C1CC1,train
CHEMBL3689604,Cc1ccc(NC(=O)N2CC[C@@H](O)C2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,BUSXOZOSXGTNSE,1,-1,-1,O=C(Nc1cc2ccc(-c3cccc(NC(=O)N4CCCC4)c3)cc2cn1)C1CC1,train
CHEMBL3689605,Cc1ccc(NC(=O)N2CC[C@H](O)C2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,BUSXOZOSXGTNSE,1,-1,-1,O=C(Nc1cc2ccc(-c3cccc(NC(=O)N4CCCC4)c3)cc2cn1)C1CC1,train
CHEMBL3689606,Cc1ncc(O)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,HSGDLDHOLLJVSR,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,train
CHEMBL3689607,Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3(F)F)ncc2c1,DMUUIELIZUQQGM,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,train
CHEMBL3689608,Cc1ccncc1-c1ccc2cc(NC(=O)C3C[C@H]3F)ncc2c1,ZAUJQZWLDBQKEZ,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,train
CHEMBL3689609,Cc1ccncc1-c1ccc2cc(NC(=O)C3C[C@@H]3F)ncc2c1,ZAUJQZWLDBQKEZ,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,train
CHEMBL3689610,Cc1ccc(C(=O)NC2(C)CCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,GUZPHYLYVCKKNK,1,-1,-1,O=C(NC1CCC1)c1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,train
