rank,ad_rank,molecule_chembl_id,pref_name,smiles,PS,in_ad,max_train_sim,p_ABL1,p_c-KIT,p_PDGFRB
728,,CHEMBL1200705,HYDROXYAMPHETAMINE HYDROBROMIDE,Br.CC(N)Cc1ccc(O)cc1,0.1908,False,0.267,0.0145,0.5759,0.8298
729,,CHEMBL3707246,OZANIMOD HYDROCHLORIDE,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4NCCO)no2)cc1C#N.Cl,0.1905,False,0.289,0.1062,0.4386,0.1483
730,187.0,CHEMBL1655,TOREMIFENE,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,0.1895,True,0.423,0.0094,0.7323,0.9917
731,,CHEMBL1201019,CEFTIZOXIME SODIUM,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=CCS[C@H]12)c1csc(N)n1.[Na+],0.1893,False,0.177,0.0773,0.6043,0.1451
732,188.0,CHEMBL1021,NEPAFENAC,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,0.1892,True,0.306,0.1594,0.3019,0.1407
733,,CHEMBL692,GLYCERIN,OCC(O)CO,0.1892,False,0.195,0.0576,0.129,0.9115
734,189.0,CHEMBL13376,CLOMETACIN,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,0.1887,True,0.328,0.0873,0.3822,0.2015
735,,CHEMBL2107806,TALAPORFIN SODIUM,C=Cc1c(C)c2cc3nc(c(CC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-])c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)[O-])[C@@H](CCC(=O)[O-])[C@@H]3C.[Na+].[Na+].[Na+].[Na+],0.1886,False,0.173,0.3909,0.0172,0.9995
736,,CHEMBL1471,APREPITANT,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.1881,False,0.243,0.0817,0.0896,0.9084
737,,CHEMBL3286830,LORLATINIB,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,0.1875,False,0.247,0.1433,0.0588,0.7823
738,,CHEMBL1601,CEFONICID,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,0.1873,False,0.214,0.0535,0.4619,0.266
739,,CHEMBL945,AMILORIDE,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,0.1851,False,0.18,0.1086,0.3969,0.1473
740,190.0,CHEMBL1213251,CLOBENZOREX,CC(Cc1ccccc1)NCc1ccccc1Cl,0.1851,True,0.323,0.0467,0.1693,0.8026
741,,CHEMBL1093,ARTICAINE,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,0.185,False,0.23,0.1086,0.0775,0.7528
742,191.0,CHEMBL15770,SULINDAC,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,0.1848,True,0.339,0.1004,0.4986,0.1262
743,,CHEMBL1200974,CARBINOXAMINE MALEATE,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,0.1848,False,0.277,0.017,0.5818,0.6365
744,,CHEMBL728,PROCHLORPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.1847,False,0.282,0.0523,0.1232,0.977
745,,CHEMBL4298138,REPOTRECTINIB,C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1,0.1842,False,0.216,0.0956,0.1793,0.3646
746,,CHEMBL3707247,OZANIMOD,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4NCCO)no2)cc1C#N,0.1838,False,0.292,0.0946,0.4101,0.16
747,192.0,CHEMBL1511957,PIPERIDOLATE HYDROCHLORIDE,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1.Cl,0.1837,True,0.305,0.0774,0.1532,0.5226
748,,CHEMBL528,CEFTIZOXIME,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,0.1835,False,0.181,0.0722,0.5937,0.1441
749,,CHEMBL2358147,CARPHENAZINE MALEATE,CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,0.1832,False,0.272,0.0233,0.3169,0.8324
750,,CHEMBL418995,AMINEPTINE,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,0.1832,False,0.29,0.0263,0.26,0.8974
751,,CHEMBL1231574,LEVOMEFOLIC ACID,CN1c2c([nH]c(N)nc2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.1829,False,0.27,0.0191,0.3394,0.9445
752,,CHEMBL11,IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,0.1827,False,0.278,0.0723,0.0872,0.9685
753,,CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0.1822,False,0.297,0.0808,0.3958,0.189
754,193.0,CHEMBL1873475,IBRUTINIB,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,0.1817,True,0.667,0.0619,0.3359,0.2888
755,,CHEMBL3182343,PIVAMPICILLIN,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,0.1808,False,0.2,0.0343,0.6907,0.2497
