rank,molecule_chembl_id,pref_name,smiles,PS,P_ABL1,P_c-KIT,P_PDGFRB,rank_ABL1,rank_c-KIT,rank_PDGFRB,max_train_sim,heavy_atoms,in_ad,ad_rank,ad_rank_pct
109,CHEMBL1200334,MORICIZINE HYDROCHLORIDE,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2.Cl,0.7036731201706681,0.40430164,0.9116169,0.9453552,299,114,519,0.33783785,31,True,55,9.91
110,CHEMBL3989695,REGADENOSON,CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1.O,0.7013834651166758,0.53298944,0.7886674,0.82083166,222,245,875,0.3137255,29,True,56,10.09
114,CHEMBL3545367,LEMBOREXANT,Cc1ncc(OC[C@@]2(c3cccc(F)c3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,0.6887342187516989,0.8447653,0.9975712,0.38768145,98,5,1589,0.37179488,30,True,57,10.27
115,CHEMBL1075,MORICIZINE,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,0.6881884613020495,0.3817956,0.90649474,0.94172907,317,119,536,0.32967034,30,True,58,10.45
121,CHEMBL5416410,DASATINIB,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,0.6588240312112787,0.99935466,0.99443215,0.28774878,9,11,1781,0.85915494,34,True,59,10.63
123,CHEMBL1421,DASATINIB ANHYDROUS,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0.6568643355781403,0.9994727,0.99486935,0.28502968,7,9,1785,0.87142855,33,True,60,10.81
124,CHEMBL4204794,AVAPRITINIB,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,0.656052403306712,0.99072474,0.96622944,0.29497305,20,68,1761,0.5,37,True,61,10.99
126,CHEMBL345524,ANTRAFENINE,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,0.6549474344322689,0.8279972,0.37344328,0.90858555,106,862,661,0.42168674,42,True,62,11.17
127,CHEMBL1567,SUNITINIB MALATE,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,0.6542540460377196,0.33558884,0.84185654,0.9912738,346,189,200,0.7123288,38,True,63,11.35
128,CHEMBL2107831,LUSUTROMBOPAG,CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC,0.651696650589671,0.7576355,0.76321423,0.47866282,147,275,1430,0.30337077,39,True,64,11.53
134,CHEMBL1623,MECLIZINE,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,0.6424782115498031,0.4130793,0.644949,0.995443,291,424,120,0.30508474,28,True,65,11.71
146,CHEMBL4297592,AMENAMEVIR,Cc1cccc(C)c1N(CC(=O)Nc1ccc(-c2ncon2)cc1)C(=O)C1CCS(=O)(=O)CC1,0.605397964490191,0.25512943,0.8732215,0.9959508,426,150,110,0.3,34,True,66,11.89
150,CHEMBL3137312,DASABUVIR,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,0.598272570771591,0.8739235,0.5181068,0.47293836,79,615,1443,0.30588236,35,True,67,12.07
156,CHEMBL1483,ALBENDAZOLE,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,0.5940960702401777,0.28344572,0.84147495,0.87914187,406,191,743,0.43103448,18,True,68,12.25
157,CHEMBL1086440,TRICLABENDAZOLE,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,0.5931563336072821,0.9889387,0.47650623,0.44286317,25,671,1489,0.33333334,21,True,69,12.43
163,CHEMBL3948730,UMBRALISIB,CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F,0.5718091699361166,0.30568644,0.7633867,0.8011846,384,274,913,0.4375,42,True,70,12.61
168,CHEMBL2103883,AVATROMBOPAG,O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,0.5631725925788672,0.5844033,0.39313185,0.7774521,207,825,961,0.3,42,True,71,12.79
170,CHEMBL3186993,HYDROXYZINE HYDROCHLORIDE,Cl.Cl.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0.556677397538569,0.2823077,0.61594427,0.9920798,410,468,182,0.3116883,28,True,72,12.97
172,CHEMBL3989868,TUCATINIB,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,0.5478795697415081,0.84471416,0.86590457,0.22484101,99,164,1915,0.37894738,36,True,73,13.15
186,CHEMBL2219411,MOMELOTINIB DIHYDROCHLORIDE,Cl.Cl.N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,0.5166725854744517,0.4155574,0.6382162,0.52005273,288,438,1364,0.5555556,33,True,74,13.33
192,CHEMBL3353410,OSIMERTINIB,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0.508471479275214,0.67450094,0.21596228,0.90248364,173,1315,678,0.37755102,37,True,75,13.51
194,CHEMBL6068336,MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE,Cl.Cl.N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1.O,0.5083893986820462,0.40836105,0.6330519,0.5082833,295,443,1377,0.5555556,34,True,76,13.69
201,CHEMBL1801800,METABROMSALAN,O=C(Nc1ccccc1)c1cc(Br)cc(Br)c1O,0.4997693043885778,0.9802085,0.51244956,0.24850729,32,620,1855,0.3469388,18,True,77,13.87
202,CHEMBL896,HYDROXYZINE,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0.4996341725309964,0.21708801,0.5786337,0.9929259,465,522,168,0.31578946,26,True,78,14.05
207,CHEMBL3990047,OZENOXACIN,CNc1ncc(-c2ccc3c(=O)c(C(=O)O)cn(C4CC4)c3c2C)cc1C,0.4902254167805288,0.62042207,0.2879478,0.65945697,193,1091,1155,0.3125,27,True,79,14.23
218,CHEMBL1755,CONIVAPTAN,Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2,0.4799250867465055,0.2750778,0.4671336,0.8602481,413,692,786,0.3026316,38,True,80,14.41
220,CHEMBL291338,"3,3',4',5-TETRACHLOROSALICYLANILIDE",O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,0.4787007914991974,0.99027073,0.7793472,0.14213713,21,262,2168,0.3090909,20,True,81,14.59
221,CHEMBL1464,WARFARIN,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.4783477357420643,0.5644483,0.25643396,0.7561909,214,1183,1009,0.33333334,23,True,82,14.77
225,CHEMBL4650319,MOBOCERTINIB,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0.4746625479278354,0.42424396,0.2587083,0.97438115,283,1177,380,0.3063063,43,True,83,14.95
236,CHEMBL1078178,MOMELOTINIB,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,0.4666763727671396,0.35932875,0.5884642,0.4806572,330,504,1426,0.5633803,31,True,84,15.14
